0:12.52	1.24	SRR12118866	aws-cp	sra	None
0:05.88	2.04	SRR12118866	gcp-cp 	sra	None
4:31.71	0.91	SRR12118866	ena-ascp	fastq.gz	None
1:06.66	0.73	SRR12118866	ena-ftp	fastq.gz	1
0:18.68	0.78	SRR12118866	prefetch	sra	None
0:05.20	0.70	SRR12118866	aws-http	sra	4
0:35.30	4.74	SRR8906566	aws-cp	sra	None
0:42.07	8.66	SRR8906566	gcp-cp 	sra	None
16:20.74	4.17	SRR8906566	ena-ascp	fastq.gz	None
3:00.31	1.39	SRR8906566	ena-ftp	fastq.gz	1
1:16.83	5.47	SRR8906566	prefetch	sra	None
0:28.56	2.04	SRR8906566	aws-http	sra	4
0:24.05	2.76	ERR3906046	aws-cp	sra	None
0:10.87	3.28	ERR3906046	gcp-cp 	sra	None
3:51.12	2.37	ERR3906046	ena-ascp	fastq.gz	None
2:22.04	1.35	ERR3906046	ena-ftp	fastq.gz	1
0:52.18	5.62	ERR3906046	prefetch	sra	None
0:14.57	1.90	ERR3906046	aws-http	sra	4
0:19.15	1.40	SRR12118866	aws-cp	sra	None
0:04.94	1.90	SRR12118866	gcp-cp 	sra	None
4:31.05	1.39	SRR12118866	ena-ascp	fastq.gz	None
0:29.57	0.85	SRR12118866	ena-ftp	fastq.gz	1
0:18.35	1.00	SRR12118866	prefetch	sra	None
0:18.54	0.85	SRR12118866	aws-http	sra	4
0:36.36	10.27	SRR8906566	aws-cp	sra	None
0:36.23	9.94	SRR8906566	gcp-cp 	sra	None
21:40.39	9.11	SRR8906566	ena-ascp	fastq.gz	None
2:49.49	2.39	SRR8906566	ena-ftp	fastq.gz	1
1:13.98	14.02	SRR8906566	prefetch	sra	None
0:31.11	3.59	SRR8906566	aws-http	sra	4
0:32.26	5.80	ERR3906046	aws-cp	sra	None
0:11.33	3.89	ERR3906046	gcp-cp 	sra	None
9:40.26	5.17	ERR3906046	ena-ascp	fastq.gz	None
2:10.34	2.00	ERR3906046	ena-ftp	fastq.gz	1
0:53.27	8.18	ERR3906046	prefetch	sra	None
0:23.37	2.34	ERR3906046	aws-http	sra	4
0:20.13	1.53	SRR12118866	aws-cp	sra	None
0:05.07	1.90	SRR12118866	gcp-cp 	sra	None
3:51.39	1.27	SRR12118866	ena-ascp	fastq.gz	None
0:30.65	0.78	SRR12118866	ena-ftp	fastq.gz	1
0:18.40	0.92	SRR12118866	prefetch	sra	None
0:05.24	0.79	SRR12118866	aws-http	sra	4
0:29.02	9.82	SRR8906566	aws-cp	sra	None
0:34.17	9.46	SRR8906566	gcp-cp 	sra	None
11:48.90	7.22	SRR8906566	ena-ascp	fastq.gz	None
5:33.62	2.39	SRR8906566	ena-ftp	fastq.gz	1
1:42.19	5.52	SRR8906566	prefetch	sra	None
0:40.05	1.88	SRR8906566	aws-http	sra	4
0:19.51	3.14	ERR3906046	aws-cp	sra	None
0:11.14	3.39	ERR3906046	gcp-cp 	sra	None
9:13.04	2.95	ERR3906046	ena-ascp	fastq.gz	None
1:58.29	1.54	ERR3906046	ena-ftp	fastq.gz	1
0:56.70	3.84	ERR3906046	prefetch	sra	None
0:32.34	1.68	ERR3906046	aws-http	sra	4
